county,state,weightedSentimentOfTweets,won,percentOfTweets
Cabarrus,North Carolina,1.1000,y,2500.00
Sumner,Tennessee,0.0000,y,2500.00
Licking,Ohio,977.4000,y,1.26
San Mateo,California,31.0000,n,40.96
Carson City,Nevada,2.0000,y,170.13
Monongalia,West Virginia,14.3000,y,143.75
Vanderburgh,Indiana,93.0000,y,10.14
Marion,Texas,2.1000,y,370.37
Clark,Indiana,1.0000,y,1875.00
Lowndes,Georgia,-0.7000,y,413.22
Jefferson,Kansas,0.0000,y,10000.00
Sanpete,Utah,114.6000,y,3.33
Montgomery,Maryland,419.0000,n,6.47
Clatsop,Oregon,14.0000,n,119.44
Marshall,Alabama,2.1000,y,555.56
Bamberg,South Carolina,48.5000,n,0.00
Polk,Texas,0.0000,y,5000.00
Hidalgo,Texas,-0.7000,n,11.65
McLennan,Texas,19.2000,y,81.25
Indian River,Florida,8.7000,y,120.78
Tippecanoe,Indiana,1.5000,n,591.72
Charles Mix,South Dakota,25.3000,y,73.46
Wise,Texas,0.0000,y,10000.00
Talladega,Alabama,-1.1000,y,2500.00
Montgomery,Virginia,3.1000,n,833.33
Chatham,Georgia,65.2000,n,21.97
Shelby,Alabama,143.6000,y,6.88
Albany,New York,38.1000,n,37.31
Calloway,Kentucky,28.0000,y,40.82
Butler,Ohio,22.1000,y,47.56
Pinal,Arizona,3.6000,y,249.31
York,South Carolina,106.0000,y,17.04
Dutchess,New York,-2.5000,n,347.22
Winnebago,Iowa,7.0000,y,0.00
Northwest Arctic,Alaska,2.0000,y,0.00
Titus,Texas,59.2000,y,17.92
Wells,Indiana,1.0000,y,0.00
Bucks,Pennsylvania,63.6000,n,26.18
White,Arkansas,2.0000,y,0.00
Clark,Ohio,2.9000,y,200.00
Chester,Pennsylvania,31.6000,n,75.72
Polk,Iowa,70.6000,n,30.77
Gaston,North Carolina,10.1000,y,216.84
Essex,New York,1.0000,n,0.00
Lyon,Kentucky,2.1000,y,0.00
Hale,Texas,-1.0000,y,900.00
Lee,Florida,115.2000,y,10.62
Whatcom,Washington,22.7000,n,82.91
Sandusky,Ohio,14.6000,y,53.46
Golden Valley,North Dakota,2.1000,y,743.80
Itasca,Minnesota,0.0000,y,468.75
Dade,Georgia,0.0000,y,3333.33
Berkshire,Massachusetts,3.5000,y,700.00
Cumberland,New Jersey,3.8000,n,123.46
Bergen,New Jersey,41.8000,n,13.45
Flagler,Florida,83.2000,y,12.86
Hot Spring,Arkansas,1.1000,y,1600.00
Monroe,Tennessee,1.0000,y,2500.00
Calvert,Maryland,1.3000,y,297.27
Alexandria City,Virginia,3.2000,n,700.00
Hinsdale,Colorado,0.0000,y,10000.00
Collier,Florida,20.6000,y,92.98
LaSalle,Illinois,-8.0000,y,8.92
Carlton,Minnesota,-1.4000,n,0.00
Quay,New Mexico,10.5000,y,0.00
Sequoyah,Oklahoma,0.0000,y,10000.00
Lexington,South Carolina,48.0000,y,50.00
Lampasas,Texas,0.0000,y,10000.00
Clayton,Iowa,7.5000,y,100.00
Matagorda,Texas,1.5000,y,1600.00
Valencia,New Mexico,9.3000,y,181.41
Iredell,North Carolina,-1.0000,y,468.75
Woodruff,Arkansas,0.1000,y,1111.11
New York,New York,48128.0000,n,0.14
Marion,Florida,37.1000,y,74.76
Ford,Kansas,0.1000,y,555.56
Pottawatomie,Oklahoma,0.0000,y,10000.00
Manatee,Florida,13.8000,y,85.06
Kings,California,1.0000,y,1093.75
Boyd,Kentucky,4.5000,y,625.00
Bernalillo,New Mexico,126.4000,n,13.06
Yukon-Koyukuk,Alaska,126.3000,y,12.15
Chautauqua,New York,6.8000,y,153.06
Strafford,New Hampshire,2.0000,y,0.00
Appanoose,Iowa,14.1000,y,138.41
Ashtabula,Ohio,5.5000,y,0.00
Houston,Alabama,4.0000,y,555.56
Chemung,New York,-0.8000,y,617.28
